global time	experiment	device	var1	var2	var3	var4	var5	var6	board	x	y	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16
36:52.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.09284918	1.199942	-0.1366437	-0.03398081	-0.2285008	0.9729505	whiteboard (video)	0.1596693	0.5726178	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:52.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.07961273	1.200635	-0.1361724	-0.0174233	-0.226639	0.973823	whiteboard (video)	0.146429	0.5760989	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:52.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.07961273	1.200635	-0.1361724	-0.0174233	-0.226639	0.973823	whiteboard (video)	0.146429	0.5760989	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:52.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.07944586	1.200574	-0.1354858	-0.01631157	-0.2283033	0.9734534	whiteboard (video)	0.1480617	0.5743701	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:52.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.07904878	1.200921	-0.1347883	-0.01875714	-0.2278347	0.9735191	whiteboard (video)	0.1419374	0.5757213	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:52.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.07224751	1.201166	-0.134306	-0.00686741	-0.2233524	0.9747137	whiteboard (video)	0.1417372	0.581815	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:52.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.08357989	1.200529	-0.1351656	-0.02333515	-0.2201148	0.9751949	whiteboard (video)	0.1487021	0.584173	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:52.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.08820031	1.199989	-0.1353977	-0.02961558	-0.2234827	0.9742579	whiteboard (video)	0.1523362	0.5790625	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:52.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.08757519	1.200468	-0.1356267	-0.0308322	-0.2206706	0.974861	whiteboard (video)	0.1477861	0.5830979	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
36:53.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	0.08513956	1.200712	-0.1356519	-0.02576892	-0.2210708	0.9749172	whiteboard (video)	0.1492804	0.5831873	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
