global	experiment	device	action	video	vid time (sec)
41:33.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:33.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	228.5286
41:33.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:33.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	226.0969
41:33.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	223.5451
41:34.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	222.2842
41:34.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	218.5617
41:34.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	215.1992
41:34.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	214.809
41:34.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	209.4353
41:34.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	205.2324
41:34.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	203.5212
41:34.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.2789
41:34.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	197.9373
41:34.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:34.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	192.5936
41:34.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:35.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	192.5936
41:35.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:35.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	189.8316
41:35.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:35.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	189.2612
41:35.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	231.9643
41:38.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	189.2314
41:49.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	188.5407
41:49.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.2313
41:49.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	188.931
41:49.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.2313
41:50.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	190.402
41:50.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.2313
41:50.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	198.0273
41:50.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.2313
41:50.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.3089
41:50.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.2313
41:50.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	206.0429
41:50.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.298
41:50.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	206.8535
41:50.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.298
41:51.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	211.7169
41:51.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.298
41:51.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	214.5688
41:51.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.298
41:51.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	214.5688
41:51.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	200.298
41:54.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	214.5645
42:02.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	222.0978
42:02.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	222.0978
42:15.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	222.0978
43:56.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	set_time	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	322.6635
43:56.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	pause	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	322.6635
44:37.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	play	http://vel.engr.uga.edu/apps/VRDEO/raydiagrams.mp4	322.6301
