global time	experiment	device	var1	var2	var3	var4	var5	var6	board	x	y	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16
03:38.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1073967	1.259669	-0.1336297	0.6449781	-0.08895663	0.759006	whiteboard (video)	0.9648646	0.836941	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:38.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1088791	1.258574	-0.1322623	0.6183302	-0.2706697	0.7378385	whiteboard (video)	0.9412384	0.5907753	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:38.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1082987	1.258839	-0.1332772	0.6191003	-0.2489814	0.7447973	whiteboard (video)	0.9358718	0.6221509	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:38.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09505501	1.257576	-0.1387909	0.6059476	-0.2406721	0.7582246	whiteboard (video)	0.9414064	0.6329277	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:38.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09244787	1.257413	-0.1394965	0.6033142	-0.2375946	0.7612888	whiteboard (video)	0.9410123	0.6374106	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:38.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09046956	1.257667	-0.1400674	0.6021553	-0.2387313	0.7618506	whiteboard (video)	0.9449705	0.6364977	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:38.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08896298	1.257026	-0.141076	0.5990341	-0.2484572	0.7612011	whiteboard (video)	0.9466885	0.6217012	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09328178	1.257446	-0.1392341	0.6042632	-0.248251	0.7571245	whiteboard (video)	0.9459702	0.6222391	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1026439	1.258594	-0.1361899	0.3588455	-0.2401183	0.9019829	whiteboard (video)	0.2945084	0.6609776	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1180273	1.259845	-0.1287961	0.3993391	-0.2502569	0.8819863	whiteboard (video)	0.3284141	0.6501522	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
