global time	experiment	device	var1	var2	var3	var4	var5	var6	board	x	y	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16
51:15.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.03144086	1.156423	-0.1142803	0.373564	0.03901032	0.9267838	whiteboard (video)	0.6937828	0.7860289	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.1	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.008612278	1.156964	-0.1048543	0.4200121	0.04861167	0.9062157	whiteboard (video)	0.6480731	0.7977717	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.04302023	1.155953	-0.1199041	0.3800343	-0.04291549	0.9239762	whiteboard (video)	0.7495266	0.6983314	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05259922	1.1559	-0.1227521	0.3368974	-0.01530092	0.941417	whiteboard (video)	0.7003103	0.7276397	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05258539	1.155777	-0.1226423	0.3605306	-0.03122396	0.9322247	whiteboard (video)	0.7450657	0.7104824	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05241958	1.155805	-0.121785	0.3361746	-0.04687364	0.9406325	whiteboard (video)	0.6979189	0.6941385	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05182828	1.155988	-0.1222959	0.3379342	-0.04467167	0.9401091	whiteboard (video)	0.6998723	0.6967671	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.7	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	7.49E-05	1.1559	-0.1089352	0.461654	-0.06577442	0.8846182	whiteboard (video)	0.7664284	0.6726644	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.02837145	1.156023	-0.1170272	0.411777	-0.04796021	0.9100217	whiteboard (video)	0.7626426	0.6927416	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:16.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.000987465	1.156266	-0.1090461	0.4709243	-0.06363542	0.8798754	whiteboard (video)	0.7886699	0.6755674	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:17.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.003470934	1.156337	-0.109087	0.4868483	-0.02891576	0.8730078	whiteboard (video)	0.8284008	0.7132857	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:17.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.00988272	1.156245	-0.112047	0.501972	-0.06298804	0.8625873	whiteboard (video)	0.8280071	0.6748543	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:17.7	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.007831952	1.156934	-0.1042195	0.4588315	0.05835453	0.886605	whiteboard (video)	0.7287014	0.8085909	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:17.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05299677	1.157475	-0.1238943	0.287376	0.1013446	0.9524413	whiteboard (video)	0.6135496	0.8543944	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:17.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05345519	1.157642	-0.1233139	0.2677169	0.1263074	0.9551829	whiteboard (video)	0.5797375	0.8813322	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05382866	1.157512	-0.1236361	0.2614088	0.1251486	0.9570806	whiteboard (video)	0.5695728	0.879864	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.1	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05514077	1.158298	-0.1240692	0.3885258	0.20544	0.8982439	whiteboard (video)	0.824878	0.9723089	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05597883	1.158372	-0.1239332	0.3848266	0.1895372	0.9033184	whiteboard (video)	0.8174026	0.9541595	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.001524411	1.158336	-0.1039071	0.5043806	0.2112403	0.8372442	whiteboard (video)	0.8673818	0.9836621	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.001713815	1.157942	-0.1060959	0.4401045	0.1413508	0.8867514	whiteboard (video)	0.7193854	0.9006164	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.004824323	1.157618	-0.1086319	0.4193107	0.1387344	0.8971796	whiteboard (video)	0.70052	0.896625	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.02763946	1.157474	-0.1147557	0.4003658	0.08284457	0.9126029	whiteboard (video)	0.73656	0.8352647	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.7	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.02449837	1.157245	-0.1141162	0.4007516	0.07959551	0.9127227	whiteboard (video)	0.726532	0.831352	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.009104607	1.156783	-0.1099744	0.4181618	0.01800219	0.9081942	whiteboard (video)	0.7052851	0.7647536	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:18.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.04911113	1.1568	-0.1240601	0.3231788	0.04325398	0.9453489	whiteboard (video)	0.6655319	0.7914565	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.05103824	1.156786	-0.1244497	0.3217344	0.04395962	0.9458089	whiteboard (video)	0.6693637	0.7921631	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.1	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.005412296	1.156993	-0.1084919	0.4548704	-0.004067255	0.8905484	whiteboard (video)	0.7658349	0.7416196	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.00785457	1.156911	-0.1093351	0.445128	0.000148327	0.8954669	whiteboard (video)	0.7546139	0.745981	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.02202518	1.156744	-0.1138673	0.4455935	-0.0150869	0.8951083	whiteboard (video)	0.8057522	0.7292969	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.01826799	1.156647	-0.112371	0.458624	-0.0152247	0.8885	whiteboard (video)	0.8187867	0.728919	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.04368575	1.154453	-0.1443763	0.2720082	-0.119177	0.9548867	whiteboard (video)	0.5750952	0.6090407	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.7	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.04387273	1.15548	-0.145141	0.2608675	0.07543331	0.9624229	whiteboard (video)	0.5528979	0.8261547	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.007346512	1.157528	-0.1048433	0.3410502	0.08442269	0.9362465	whiteboard (video)	0.5012265	0.8362052	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:19.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.006280693	1.15761	-0.1084381	0.2962636	0.1211671	0.9473892	whiteboard (video)	0.4670332	0.875247	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.01666274	1.1576	-0.1126234	0.3054014	0.1474411	0.9407397	whiteboard (video)	0.5232757	0.9040675	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.1	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.01663893	1.157928	-0.1123544	0.3058606	0.1444312	0.9410573	whiteboard (video)	0.5235239	0.9013817	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.01634914	1.15763	-0.1125817	0.2233323	0.1132518	0.9681408	whiteboard (video)	0.3694399	0.8670564	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.01601049	1.157395	-0.1126117	0.2228982	0.1089192	0.9687378	whiteboard (video)	0.3673795	0.8619735	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.0080112	1.157662	-0.1102526	0.2014112	0.1196725	0.9721687	whiteboard (video)	0.3012789	0.8740842	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.02453519	1.15761	-0.1155103	0.1616967	0.1216711	0.9793112	whiteboard (video)	0.2871913	0.8767278	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.02540733	1.157679	-0.1163594	0.1678084	0.1230364	0.9781116	whiteboard (video)	0.3016331	0.8784175	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.7	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.03933479	1.155687	-0.1453459	0.2685612	-0.07181579	0.9605818	whiteboard (video)	0.5530449	0.6639881	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:20.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.01574862	1.156415	-0.1149583	0.3863455	0.05326772	0.9208146	whiteboard (video)	0.5731912	0.8025625	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:21.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.04725727	1.157822	-0.1269497	0.2797038	0.04958048	0.9588053	whiteboard (video)	0.5818592	0.8004231	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:21.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.01458759	1.156762	-0.1149762	0.3755233	0.09717879	0.9217042	whiteboard (video)	0.5579551	0.8509948	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:21.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.0144485	1.156931	-0.1139031	0.367571	0.07842853	0.9266825	whiteboard (video)	0.5402426	0.8305707	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:21.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.008830426	1.15737	-0.1119337	0.3470881	0.08478147	0.9339925	whiteboard (video)	0.5162419	0.8375642	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
